Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number
176,34,70,0.119,Baby_Scratch,1,1
176,34,69,0.12,Baby_Scratch,1,1
176,34,71,0.121,Baby_Scratch,1,1
176,34,69,0.122,Baby_Scratch,1,1
176,34,68,0.123,Baby_Scratch,1,1
176,34,68,0.124,Baby_Scratch,1,1
176,34,68,0.125,Baby_Scratch,1,1
176,34,69,0.126,Baby_Scratch,1,1
176,34,68,0.127,Baby_Scratch,1,1
176,34,67,0.128,Baby_Scratch,1,1
176,34,67,0.129,Baby_Scratch,1,1
176,34,66,0.13,Baby_Scratch,1,1
176,34,67,0.131,Baby_Scratch,1,1
176,34,65,0.132,Baby_Scratch,1,1
176,34,66,0.133,Baby_Scratch,1,1
176,34,65,0.134,Baby_Scratch,1,1
176,34,65,0.135,Baby_Scratch,1,1
176,34,65,0.136,Baby_Scratch,1,1
176,34,63,0.138,Baby_Scratch,1,1
176,34,63,0.139,Baby_Scratch,1,1
176,34,62,0.141,Baby_Scratch,1,1
176,34,63,0.142,Baby_Scratch,1,1
176,34,62,0.143,Baby_Scratch,1,1
176,34,62,0.144,Baby_Scratch,1,1
176,34,62,0.146,Baby_Scratch,1,1
176,34,61,0.146,Baby_Scratch,1,1
176,34,61,0.147,Baby_Scratch,1,1
176,34,61,0.148,Baby_Scratch,1,1
176,34,60,0.149,Baby_Scratch,1,1
176,34,60,0.15,Baby_Scratch,1,1
176,34,59,0.151,Baby_Scratch,1,1
176,34,60,0.152,Baby_Scratch,1,1
176,34,58,0.153,Baby_Scratch,1,1
176,34,59,0.154,Baby_Scratch,1,1
176,34,58,0.155,Baby_Scratch,1,1
176,34,58,0.156,Baby_Scratch,1,1
176,34,57,0.157,Baby_Scratch,1,1
176,34,58,0.158,Baby_Scratch,1,1
176,34,57,0.159,Baby_Scratch,1,1
176,34,56,0.16,Baby_Scratch,1,1
176,34,56,0.161,Baby_Scratch,1,1
176,34,53,0.162,Baby_Scratch,1,1
176,34,56,0.163,Baby_Scratch,1,1
176,34,56,0.165,Baby_Scratch,1,1
176,34,55,0.165,Baby_Scratch,1,1
176,34,54,0.166,Baby_Scratch,1,1
176,34,52,0.167,Baby_Scratch,1,1
176,34,54,0.168,Baby_Scratch,1,1
176,34,54,0.169,Baby_Scratch,1,1
176,34,53,0.17,Baby_Scratch,1,1
176,34,54,0.171,Baby_Scratch,1,1
176,34,50,0.172,Baby_Scratch,1,1
176,34,52,0.173,Baby_Scratch,1,1
176,34,52,0.174,Baby_Scratch,1,1
176,34,51,0.175,Baby_Scratch,1,1
176,34,52,0.176,Baby_Scratch,1,1
176,34,48,0.177,Baby_Scratch,1,1
176,34,51,0.178,Baby_Scratch,1,1
176,34,51,0.179,Baby_Scratch,1,1
176,34,51,0.18,Baby_Scratch,1,1
176,34,50,0.181,Baby_Scratch,1,1
176,34,47,0.182,Baby_Scratch,1,1
176,34,50,0.183,Baby_Scratch,1,1
176,34,50,0.184,Baby_Scratch,1,1
176,34,50,0.185,Baby_Scratch,1,1
