Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number
182,31,105,0.136,Stab,1,1
182,63,108,0.136,Stab,1,1
176,34,85,0.136,Stab,1,1
182,31,106,0.137,Stab,1,1
176,34,85,0.137,Stab,1,1
182,63,60,0.138,Stab,1,1
176,34,84,0.138,Stab,1,1
182,31,107,0.139,Stab,1,1
182,63,93,0.139,Stab,1,1
176,34,89,0.139,Stab,1,1
182,31,108,0.14,Stab,1,1
182,63,109,0.14,Stab,1,1
176,34,83,0.14,Stab,1,1
182,31,110,0.141,Stab,1,1
182,63,45,0.141,Stab,1,1
182,31,111,0.141,Stab,1,1
182,63,61,0.141,Stab,1,1
176,34,84,0.141,Stab,1,1
182,31,112,0.142,Stab,1,1
182,63,109,0.142,Stab,1,1
176,34,84,0.142,Stab,1,1
176,34,82,0.143,Stab,1,1
182,31,114,0.144,Stab,1,1
182,63,29,0.144,Stab,1,1
176,34,85,0.144,Stab,1,1
182,31,115,0.145,Stab,1,1
182,63,78,0.145,Stab,1,1
176,34,82,0.145,Stab,1,1
182,31,117,0.146,Stab,1,1
182,63,94,0.146,Stab,1,1
176,34,80,0.146,Stab,1,1
182,31,119,0.147,Stab,1,1
182,63,14,0.147,Stab,1,1
182,31,120,0.147,Stab,1,1
182,63,110,0.147,Stab,1,1
176,34,80,0.147,Stab,1,1
176,34,78,0.148,Stab,1,1
182,31,122,0.149,Stab,1,1
182,63,30,0.149,Stab,1,1
176,34,81,0.149,Stab,1,1
182,31,123,0.15,Stab,1,1
182,63,95,0.15,Stab,1,1
182,31,125,0.15,Stab,1,1
176,34,78,0.15,Stab,1,1
182,63,47,0.151,Stab,1,1
176,34,78,0.151,Stab,1,1
182,31,127,0.152,Stab,1,1
182,63,31,0.152,Stab,1,1
182,31,127,0.152,Stab,1,1
176,34,77,0.152,Stab,1,1
182,63,127,0.153,Stab,1,1
176,34,76,0.153,Stab,1,1
176,34,78,0.154,Stab,1,1
