Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number
176,34,68,0.127,Flare,1,1
176,34,68,0.128,Flare,1,1
176,34,68,0.128,Flare,1,1
176,34,67,0.13,Flare,1,1
176,34,69,0.131,Flare,1,1
176,34,67,0.132,Flare,1,1
176,34,68,0.133,Flare,1,1
176,34,67,0.134,Flare,1,1
176,34,68,0.135,Flare,1,1
176,34,68,0.136,Flare,1,1
176,34,67,0.137,Flare,1,1
176,34,67,0.137,Flare,1,1
176,34,67,0.138,Flare,1,1
176,34,67,0.139,Flare,1,1
176,34,68,0.14,Flare,1,1
176,34,67,0.142,Flare,1,1
176,34,67,0.143,Flare,1,1
176,34,67,0.144,Flare,1,1
176,34,67,0.145,Flare,1,1
176,34,67,0.145,Flare,1,1
176,34,67,0.147,Flare,1,1
176,34,66,0.147,Flare,1,1
176,34,67,0.149,Flare,1,1
176,34,67,0.15,Flare,1,1
176,34,67,0.15,Flare,1,1
176,34,66,0.152,Flare,1,1
176,34,67,0.153,Flare,1,1
176,34,66,0.153,Flare,1,1
176,34,67,0.154,Flare,1,1
176,34,67,0.156,Flare,1,1
176,34,66,0.156,Flare,1,1
176,34,67,0.158,Flare,1,1
176,34,66,0.158,Flare,1,1
176,34,66,0.16,Flare,1,1
176,34,67,0.161,Flare,1,1
176,34,67,0.161,Flare,1,1
176,34,66,0.163,Flare,1,1
176,34,66,0.163,Flare,1,1
176,34,67,0.164,Flare,1,1
176,34,66,0.165,Flare,1,1
176,34,67,0.166,Flare,1,1
176,34,66,0.168,Flare,1,1
176,34,66,0.168,Flare,1,1
176,34,67,0.169,Flare,1,1
176,34,66,0.171,Flare,1,1
176,34,67,0.171,Flare,1,1
176,34,66,0.173,Flare,1,1
176,34,67,0.173,Flare,1,1
176,34,66,0.174,Flare,1,1
176,34,66,0.175,Flare,1,1
176,34,67,0.176,Flare,1,1
176,34,66,0.177,Flare,1,1
176,34,67,0.179,Flare,1,1
176,34,66,0.18,Flare,1,1
176,34,67,0.18,Flare,1,1
176,34,67,0.182,Flare,1,1
176,34,66,0.183,Flare,1,1
176,34,67,0.184,Flare,1,1
176,34,67,0.184,Flare,1,1
176,34,67,0.186,Flare,1,1
176,34,68,0.186,Flare,1,1
176,34,67,0.187,Flare,1,1
176,34,67,0.188,Flare,1,1
176,34,67,0.189,Flare,1,1
176,34,67,0.19,Flare,1,1
176,34,68,0.191,Flare,1,1
176,34,68,0.193,Flare,1,1
176,34,67,0.193,Flare,1,1
176,34,68,0.195,Flare,1,1
176,34,67,0.195,Flare,1,1
176,34,69,0.197,Flare,1,1
176,34,67,0.197,Flare,1,1
176,34,68,0.198,Flare,1,1
176,34,68,0.199,Flare,1,1
176,34,68,0.2,Flare,1,1
176,34,69,0.201,Flare,1,1
176,34,68,0.202,Flare,1,1
176,34,68,0.203,Flare,1,1
176,34,68,0.204,Flare,1,1
176,34,68,0.205,Flare,1,1
176,34,70,0.206,Flare,1,1
176,34,68,0.207,Flare,1,1
176,34,69,0.208,Flare,1,1
176,34,69,0.209,Flare,1,1
176,34,68,0.21,Flare,1,1
176,34,70,0.211,Flare,1,1
176,34,70,0.213,Flare,1,1
176,34,69,0.214,Flare,1,1
176,34,69,0.214,Flare,1,1
176,34,69,0.216,Flare,1,1
176,34,69,0.216,Flare,1,1
176,34,71,0.217,Flare,1,1
176,34,69,0.218,Flare,1,1
176,34,70,0.219,Flare,1,1
176,34,70,0.22,Flare,1,1
176,34,69,0.222,Flare,1,1
176,34,71,0.223,Flare,1,1
176,34,71,0.223,Flare,1,1
176,34,70,0.224,Flare,1,1
176,34,70,0.225,Flare,1,1
176,34,70,0.226,Flare,1,1
176,34,72,0.227,Flare,1,1
176,34,71,0.228,Flare,1,1
176,34,70,0.229,Flare,1,1
176,34,71,0.23,Flare,1,1
176,34,71,0.232,Flare,1,1
176,34,72,0.232,Flare,1,1
176,34,71,0.233,Flare,1,1
176,34,71,0.235,Flare,1,1
176,34,72,0.235,Flare,1,1
176,34,71,0.236,Flare,1,1
176,34,73,0.237,Flare,1,1
176,34,72,0.238,Flare,1,1
176,34,71,0.239,Flare,1,1
176,34,72,0.24,Flare,1,1
176,34,73,0.241,Flare,1,1
176,34,74,0.242,Flare,1,1
176,34,72,0.243,Flare,1,1
176,34,72,0.245,Flare,1,1
176,34,72,0.246,Flare,1,1
176,34,72,0.247,Flare,1,1
176,34,75,0.247,Flare,1,1
176,34,73,0.248,Flare,1,1
176,34,72,0.25,Flare,1,1
176,34,73,0.25,Flare,1,1
176,34,74,0.251,Flare,1,1
176,34,75,0.253,Flare,1,1
176,34,73,0.253,Flare,1,1
176,34,74,0.254,Flare,1,1
176,34,74,0.255,Flare,1,1
176,34,73,0.257,Flare,1,1
176,34,76,0.257,Flare,1,1
176,34,74,0.258,Flare,1,1
176,34,74,0.26,Flare,1,1
176,34,74,0.261,Flare,1,1
176,34,75,0.261,Flare,1,1
176,34,76,0.262,Flare,1,1
176,34,75,0.263,Flare,1,1
176,34,74,0.264,Flare,1,1
176,34,75,0.265,Flare,1,1
176,34,75,0.266,Flare,1,1
176,34,75,0.267,Flare,1,1
176,34,77,0.268,Flare,1,1
176,34,75,0.27,Flare,1,1
176,34,75,0.271,Flare,1,1
176,34,75,0.271,Flare,1,1
176,34,76,0.273,Flare,1,1
176,34,77,0.273,Flare,1,1
176,34,76,0.274,Flare,1,1
176,34,75,0.275,Flare,1,1
176,34,76,0.276,Flare,1,1
176,34,75,0.277,Flare,1,1
176,34,79,0.278,Flare,1,1
176,34,76,0.279,Flare,1,1
182,31,127,0.28,Flare,1,1
182,63,47,0.28,Flare,1,1
176,34,76,0.28,Flare,1,1
182,31,125,0.281,Flare,1,1
