,Unnamed: 0,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
36757,20539,182,31,87,0.04,Chirp,1,5,1,0.876953125
36758,20511,176,34,75,0.041,Chirp,1,5,1,-145.49300000000005
36759,20539,182,31,87,0.041,Chirp,1,5,1,0.876953125
36760,20512,176,34,74,0.042,Chirp,1,5,1,-145.48300000000006
36761,20539,182,31,87,0.042,Chirp,1,5,1,0.876953125
36762,20513,176,34,74,0.043,Chirp,1,5,1,-145.47300000000007
36763,20539,182,31,87,0.043,Chirp,1,5,1,0.876953125
36764,20514,176,34,75,0.044,Chirp,1,5,1,-145.46200000000007
36765,20539,182,31,87,0.044,Chirp,1,5,1,0.876953125
36766,20515,176,34,74,0.045,Chirp,1,5,1,-145.45200000000008
36767,20539,182,31,87,0.045,Chirp,1,5,1,0.876953125
36768,20516,176,34,75,0.046,Chirp,1,5,1,-145.4410000000001
36769,20539,182,31,87,0.046,Chirp,1,5,1,0.876953125
36770,20517,176,34,77,0.047,Chirp,1,5,1,-145.42800000000008
36771,20539,182,31,87,0.047,Chirp,1,5,1,0.876953125
36772,20518,176,34,75,0.048,Chirp,1,5,1,-145.4060000000001
36773,20539,182,31,87,0.048,Chirp,1,5,1,0.876953125
36774,20518,176,34,75,0.049,Chirp,1,5,1,-145.4060000000001
36775,20539,182,31,87,0.049,Chirp,1,5,1,0.876953125
36776,20519,176,34,75,0.05,Chirp,1,5,1,-145.3950000000001
36777,20539,182,31,87,0.05,Chirp,1,5,1,0.876953125
36778,20521,176,34,76,0.051,Chirp,1,5,1,-145.3830000000001
36779,20539,182,31,87,0.051,Chirp,1,5,1,0.876953125
36780,20522,176,34,78,0.052,Chirp,1,5,1,-145.36900000000009
36781,20539,182,31,87,0.052,Chirp,1,5,1,0.876953125
36782,20523,176,34,76,0.053,Chirp,1,5,1,-145.35700000000008
36783,20539,182,31,87,0.053,Chirp,1,5,1,0.876953125
36784,20524,176,34,76,0.054,Chirp,1,5,1,-145.34500000000008
36785,20539,182,31,87,0.054,Chirp,1,5,1,0.876953125
36786,20525,176,34,76,0.055,Chirp,1,5,1,-145.33300000000008
36787,20539,182,31,87,0.055,Chirp,1,5,1,0.876953125
36788,20526,176,34,76,0.056,Chirp,1,5,1,-145.32100000000008
36789,20539,182,31,87,0.056,Chirp,1,5,1,0.876953125
36790,20527,176,34,79,0.057,Chirp,1,5,1,-145.3060000000001
36791,20539,182,31,87,0.057,Chirp,1,5,1,0.876953125
36792,20528,176,34,77,0.058,Chirp,1,5,1,-145.2930000000001
36793,20539,182,31,87,0.058,Chirp,1,5,1,0.876953125
36794,20529,176,34,77,0.059,Chirp,1,5,1,-145.2800000000001
36795,20539,182,31,87,0.059,Chirp,1,5,1,0.876953125
36796,20530,176,34,76,0.06,Chirp,1,5,1,-145.2680000000001
36797,20539,182,31,87,0.06,Chirp,1,5,1,0.876953125
36798,20531,176,34,77,0.061,Chirp,1,5,1,-145.25500000000008
36799,20539,182,31,87,0.061,Chirp,1,5,1,0.876953125
36800,20532,176,34,80,0.062,Chirp,1,5,1,-145.2390000000001
36801,20539,182,31,87,0.062,Chirp,1,5,1,0.876953125
36802,20533,176,34,77,0.063,Chirp,1,5,1,-145.21300000000008
36803,20539,182,31,87,0.063,Chirp,1,5,1,0.876953125
36804,20533,176,34,77,0.064,Chirp,1,5,1,-145.21300000000008
36805,20539,182,31,87,0.064,Chirp,1,5,1,0.876953125
36806,20535,176,34,78,0.065,Chirp,1,5,1,-145.1850000000001
36807,20539,182,31,87,0.065,Chirp,1,5,1,0.876953125
36808,20535,176,34,78,0.066,Chirp,1,5,1,-145.1850000000001
36809,20539,182,31,87,0.066,Chirp,1,5,1,0.876953125
36810,20537,176,34,81,0.067,Chirp,1,5,1,-145.1680000000001
36811,20539,182,31,87,0.067,Chirp,1,5,1,0.876953125
36812,20538,176,34,78,0.068,Chirp,1,5,1,-145.15400000000008
36813,20539,182,31,87,0.068,Chirp,1,5,1,0.876953125
36814,20541,176,34,78,0.069,Chirp,1,5,1,-145.14000000000007
36815,20539,182,31,87,0.069,Chirp,1,5,1,0.876953125
36816,20542,176,34,78,0.07,Chirp,1,5,1,-145.12600000000006
36817,20543,182,31,89,0.07,Chirp,1,5,1,0.89703125
36818,20545,176,34,78,0.071,Chirp,1,5,1,-145.11200000000005
36819,20543,182,31,89,0.071,Chirp,1,5,1,0.89703125
36820,20548,176,34,81,0.072,Chirp,1,5,1,-145.07800000000006
36821,20546,182,31,90,0.072,Chirp,1,5,1,0.9071875
36822,20548,176,34,81,0.073,Chirp,1,5,1,-145.07800000000006
36823,20546,182,31,90,0.073,Chirp,1,5,1,0.9071875
36824,20551,176,34,79,0.074,Chirp,1,5,1,-145.06300000000007
36825,20549,182,31,92,0.074,Chirp,1,5,1,0.927421875
36826,20557,176,34,78,0.075,Chirp,1,5,1,-145.04900000000006
36827,20555,182,31,95,0.075,Chirp,1,5,1,0.957578125
36828,20560,176,34,78,0.076,Chirp,1,5,1,-145.03500000000005
36829,20558,182,31,97,0.076,Chirp,1,5,1,0.977734375
36830,20563,176,34,82,0.077,Chirp,1,5,1,-145.01700000000005
36831,20561,182,31,99,0.077,Chirp,1,5,1,0.997890625
36832,20566,176,34,80,0.078,Chirp,1,5,1,-145.00100000000006
36833,20564,182,31,101,0.078,Chirp,1,5,1,1.01796875
36834,20569,176,34,79,0.079,Chirp,1,5,1,-144.98600000000008
36835,20567,182,31,102,0.079,Chirp,1,5,1,1.028046875
36836,20572,176,34,78,0.08,Chirp,1,5,1,-144.9720000000001
36837,20570,182,31,103,0.08,Chirp,1,5,1,1.038203125
36838,20575,176,34,80,0.081,Chirp,1,5,1,-144.95600000000007
36839,20573,182,31,105,0.081,Chirp,1,5,1,1.05828125
36840,20578,176,34,82,0.082,Chirp,1,5,1,-144.93800000000007
36841,20576,182,31,106,0.082,Chirp,1,5,1,1.0684375
36842,20581,176,34,79,0.083,Chirp,1,5,1,-144.9230000000001
36843,20579,182,31,108,0.083,Chirp,1,5,1,1.088515625
36844,20584,176,34,79,0.084,Chirp,1,5,1,-144.9080000000001
36845,20582,182,31,109,0.084,Chirp,1,5,1,1.098671875
36846,20587,176,34,80,0.085,Chirp,1,5,1,-144.8760000000001
36847,20585,182,31,111,0.085,Chirp,1,5,1,1.11890625
36848,20587,176,34,80,0.086,Chirp,1,5,1,-144.8760000000001
36849,20585,182,31,111,0.086,Chirp,1,5,1,1.11890625
36850,20593,176,34,83,0.087,Chirp,1,5,1,-144.85700000000008
36851,20591,182,31,114,0.087,Chirp,1,5,1,1.1490625
36852,20596,176,34,79,0.088,Chirp,1,5,1,-144.8420000000001
36853,20594,182,31,116,0.088,Chirp,1,5,1,1.169140625
36854,20599,176,34,79,0.089,Chirp,1,5,1,-144.8270000000001
36855,20597,182,31,117,0.089,Chirp,1,5,1,1.179296875
36856,20602,176,34,80,0.09,Chirp,1,5,1,-144.7950000000001
36857,20600,182,31,119,0.09,Chirp,1,5,1,1.19953125
36858,20602,176,34,80,0.091,Chirp,1,5,1,-144.7950000000001
36859,20600,182,31,119,0.091,Chirp,1,5,1,1.19953125
36860,20608,176,34,82,0.092,Chirp,1,5,1,-144.7770000000001
36861,20606,182,31,122,0.092,Chirp,1,5,1,1.229609375
36862,20611,176,34,79,0.093,Chirp,1,5,1,-144.7620000000001
