,Unnamed: 0,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
28530,17908,176,34,67,0.0,Stab,1,5,41,-109.164
28531,17950,182,31,127,0.0,Stab,1,5,41,1.279296875
28532,17909,176,34,66,0.001,Stab,1,5,41,-109.162
28533,17950,182,31,127,0.001,Stab,1,5,41,1.279296875
28534,17910,176,34,68,0.002,Stab,1,5,41,-109.158
28535,17950,182,31,127,0.002,Stab,1,5,41,1.279296875
28536,17911,176,34,67,0.003,Stab,1,5,41,-109.152
28537,17950,182,31,127,0.003,Stab,1,5,41,1.279296875
28538,17911,176,34,67,0.004,Stab,1,5,41,-109.152
28539,17950,182,31,127,0.004,Stab,1,5,41,1.279296875
28540,17913,176,34,69,0.005,Stab,1,5,41,-109.147
28541,17950,182,31,127,0.005,Stab,1,5,41,1.279296875
28542,17914,176,34,68,0.006,Stab,1,5,41,-109.143
28543,17950,182,31,127,0.006,Stab,1,5,41,1.279296875
28544,17915,176,34,69,0.007,Stab,1,5,41,-109.138
28545,17950,182,31,127,0.007,Stab,1,5,41,1.279296875
28546,17916,176,34,69,0.008,Stab,1,5,41,-109.133
28547,17950,182,31,127,0.008,Stab,1,5,41,1.279296875
28548,17917,176,34,70,0.009,Stab,1,5,41,-109.127
28549,17950,182,31,127,0.009,Stab,1,5,41,1.279296875
28550,17918,176,34,72,0.01,Stab,1,5,41,-109.119
28551,17950,182,31,127,0.01,Stab,1,5,41,1.279296875
28552,17919,176,34,71,0.011,Stab,1,5,41,-109.112
28553,17950,182,31,127,0.011,Stab,1,5,41,1.279296875
28554,17920,176,34,73,0.012,Stab,1,5,41,-109.103
28555,17950,182,31,127,0.012,Stab,1,5,41,1.279296875
28556,17921,176,34,72,0.013,Stab,1,5,41,-109.095
28557,17950,182,31,127,0.013,Stab,1,5,41,1.279296875
28558,17922,176,34,72,0.014,Stab,1,5,41,-109.079
28559,17950,182,31,127,0.014,Stab,1,5,41,1.279296875
28560,17922,176,34,72,0.015,Stab,1,5,41,-109.079
28561,17950,182,31,127,0.015,Stab,1,5,41,1.279296875
28562,17924,176,34,72,0.016,Stab,1,5,41,-109.071
28563,17950,182,31,127,0.016,Stab,1,5,41,1.279296875
28564,17925,176,34,73,0.017,Stab,1,5,41,-109.062
28565,17950,182,31,127,0.017,Stab,1,5,41,1.279296875
28566,17926,176,34,73,0.018,Stab,1,5,41,-109.053
28567,17950,182,31,127,0.018,Stab,1,5,41,1.279296875
28568,17927,176,34,74,0.019,Stab,1,5,41,-109.033
28569,17950,182,31,127,0.019,Stab,1,5,41,1.279296875
28570,17927,176,34,74,0.02,Stab,1,5,41,-109.033
28571,17950,182,31,127,0.02,Stab,1,5,41,1.279296875
28572,17929,176,34,75,0.021,Stab,1,5,41,-109.022
28573,17950,182,31,127,0.021,Stab,1,5,41,1.279296875
28574,17930,176,34,75,0.022,Stab,1,5,41,-109.011
28575,17950,182,31,127,0.022,Stab,1,5,41,1.279296875
28576,17931,176,34,75,0.023,Stab,1,5,41,-109.0
28577,17950,182,31,127,0.023,Stab,1,5,41,1.279296875
28578,17932,176,34,75,0.024,Stab,1,5,41,-108.98900000000002
28579,17950,182,31,127,0.024,Stab,1,5,41,1.279296875
28580,17933,176,34,77,0.025,Stab,1,5,41,-108.976
28581,17950,182,31,127,0.025,Stab,1,5,41,1.279296875
28582,17934,176,34,75,0.026,Stab,1,5,41,-108.96500000000002
28583,17950,182,31,127,0.026,Stab,1,5,41,1.279296875
28584,17935,176,34,75,0.027,Stab,1,5,41,-108.95400000000002
28585,17950,182,31,127,0.027,Stab,1,5,41,1.279296875
28586,17936,176,34,77,0.028,Stab,1,5,41,-108.94100000000002
28587,17950,182,31,127,0.028,Stab,1,5,41,1.279296875
28588,17937,176,34,76,0.029,Stab,1,5,41,-108.92900000000002
28589,17950,182,31,127,0.029,Stab,1,5,41,1.279296875
28590,17938,176,34,79,0.03,Stab,1,5,41,-108.91400000000002
28591,17950,182,31,127,0.03,Stab,1,5,41,1.279296875
28592,17939,176,34,77,0.031,Stab,1,5,41,-108.901
28593,17950,182,31,127,0.031,Stab,1,5,41,1.279296875
28594,17940,176,34,76,0.032,Stab,1,5,41,-108.889
28595,17950,182,31,127,0.032,Stab,1,5,41,1.279296875
28596,17941,176,34,76,0.033,Stab,1,5,41,-108.877
28597,17950,182,31,127,0.033,Stab,1,5,41,1.279296875
28598,17942,176,34,77,0.034,Stab,1,5,41,-108.864
28599,17950,182,31,127,0.034,Stab,1,5,41,1.279296875
28600,17943,176,34,81,0.035,Stab,1,5,41,-108.847
28601,17950,182,31,127,0.035,Stab,1,5,41,1.279296875
28602,17944,176,34,78,0.036,Stab,1,5,41,-108.833
28603,17950,182,31,127,0.036,Stab,1,5,41,1.279296875
28604,17945,176,34,78,0.037,Stab,1,5,41,-108.81900000000002
28605,17950,182,31,127,0.037,Stab,1,5,41,1.279296875
28606,17946,176,34,78,0.038,Stab,1,5,41,-108.80500000000002
28607,17950,182,31,127,0.038,Stab,1,5,41,1.279296875
28608,17947,176,34,78,0.039,Stab,1,5,41,-108.77700000000002
28609,17950,182,31,127,0.039,Stab,1,5,41,1.279296875
28610,17947,176,34,78,0.04,Stab,1,5,41,-108.77700000000002
28611,17950,182,31,127,0.04,Stab,1,5,41,1.279296875
28612,17949,176,34,79,0.041,Stab,1,5,41,-108.762
28613,17950,182,31,127,0.041,Stab,1,5,41,1.279296875
28614,17952,176,34,80,0.042,Stab,1,5,41,-108.73000000000002
28615,17950,182,31,127,0.042,Stab,1,5,41,1.279296875
28616,17952,176,34,80,0.043,Stab,1,5,41,-108.73000000000002
28617,17950,182,31,127,0.043,Stab,1,5,41,1.279296875
28618,17958,176,34,80,0.044,Stab,1,5,41,-108.714
28619,17956,182,31,119,0.044,Stab,1,5,41,1.1990625
28620,17961,176,34,83,0.045,Stab,1,5,41,-108.695
28621,17959,182,31,116,0.045,Stab,1,5,41,1.168828125
28622,17964,176,34,80,0.046,Stab,1,5,41,-108.679
28623,17962,182,31,113,0.046,Stab,1,5,41,1.13859375
28624,17967,176,34,80,0.047,Stab,1,5,41,-108.663
28625,17965,182,31,110,0.047,Stab,1,5,41,1.108359375
28626,17970,176,34,80,0.048,Stab,1,5,41,-108.647
28627,17968,182,31,107,0.048,Stab,1,5,41,1.078203125
