,Unnamed: 0,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
63624,34515,176,34,74,0.048,Flare,1,5,41,-219.60200000000015
63625,34513,182,31,122,0.048,Flare,1,5,41,1.229765625
63626,34518,176,34,74,0.049,Flare,1,5,41,-219.59200000000016
63627,34516,182,31,125,0.049,Flare,1,5,41,1.259921875
63628,34521,176,34,76,0.05,Flare,1,5,41,-219.58000000000015
63629,34519,182,31,127,0.05,Flare,1,5,41,1.27984375
63630,34522,176,34,74,0.051,Flare,1,5,41,-219.5700000000002
63631,34720,182,31,126,0.051,Flare,1,5,41,1.2696875
63632,34523,176,34,74,0.052,Flare,1,5,41,-219.5600000000002
63633,34720,182,31,126,0.052,Flare,1,5,41,1.2696875
63634,34524,176,34,74,0.053,Flare,1,5,41,-219.5500000000002
63635,34720,182,31,126,0.053,Flare,1,5,41,1.2696875
63636,34525,176,34,73,0.054,Flare,1,5,41,-219.54100000000025
63637,34720,182,31,126,0.054,Flare,1,5,41,1.2696875
63638,34526,176,34,76,0.055,Flare,1,5,41,-219.52900000000025
63639,34720,182,31,126,0.055,Flare,1,5,41,1.2696875
63640,34527,176,34,74,0.056,Flare,1,5,41,-219.51900000000023
63641,34720,182,31,126,0.056,Flare,1,5,41,1.2696875
63642,34528,176,34,74,0.057,Flare,1,5,41,-219.50900000000024
63643,34720,182,31,126,0.057,Flare,1,5,41,1.2696875
63644,34529,176,34,74,0.058,Flare,1,5,41,-219.49900000000025
63645,34720,182,31,126,0.058,Flare,1,5,41,1.2696875
63646,34530,176,34,74,0.059,Flare,1,5,41,-219.48900000000023
63647,34720,182,31,126,0.059,Flare,1,5,41,1.2696875
63648,34531,176,34,75,0.06,Flare,1,5,41,-219.47800000000024
63649,34720,182,31,126,0.06,Flare,1,5,41,1.2696875
63650,34532,176,34,74,0.061,Flare,1,5,41,-219.46800000000027
63651,34720,182,31,126,0.061,Flare,1,5,41,1.2696875
63652,34533,176,34,73,0.062,Flare,1,5,41,-219.4590000000003
63653,34720,182,31,126,0.062,Flare,1,5,41,1.2696875
63654,34534,176,34,74,0.063,Flare,1,5,41,-219.43900000000028
63655,34720,182,31,126,0.063,Flare,1,5,41,1.2696875
63656,34534,176,34,74,0.064,Flare,1,5,41,-219.43900000000028
63657,34720,182,31,126,0.064,Flare,1,5,41,1.2696875
63658,34536,176,34,76,0.065,Flare,1,5,41,-219.42700000000028
63659,34720,182,31,126,0.065,Flare,1,5,41,1.2696875
63660,34537,176,34,74,0.066,Flare,1,5,41,-219.4170000000003
63661,34720,182,31,126,0.066,Flare,1,5,41,1.2696875
63662,34538,176,34,74,0.067,Flare,1,5,41,-219.4070000000003
63663,34720,182,31,126,0.067,Flare,1,5,41,1.2696875
63664,34539,176,34,73,0.068,Flare,1,5,41,-219.3980000000003
63665,34720,182,31,126,0.068,Flare,1,5,41,1.2696875
63666,34540,176,34,74,0.069,Flare,1,5,41,-219.38800000000032
63667,34720,182,31,126,0.069,Flare,1,5,41,1.2696875
63668,34541,176,34,73,0.07,Flare,1,5,41,-219.37900000000036
63669,34720,182,31,126,0.07,Flare,1,5,41,1.2696875
63670,34542,176,34,75,0.071,Flare,1,5,41,-219.36800000000036
63671,34720,182,31,126,0.071,Flare,1,5,41,1.2696875
63672,34543,176,34,74,0.072,Flare,1,5,41,-219.34800000000035
63673,34720,182,31,126,0.072,Flare,1,5,41,1.2696875
63674,34543,176,34,74,0.073,Flare,1,5,41,-219.34800000000035
63675,34720,182,31,126,0.073,Flare,1,5,41,1.2696875
63676,34545,176,34,74,0.074,Flare,1,5,41,-219.33800000000036
63677,34720,182,31,126,0.074,Flare,1,5,41,1.2696875
63678,34546,176,34,73,0.075,Flare,1,5,41,-219.32000000000036
63679,34720,182,31,126,0.075,Flare,1,5,41,1.2696875
63680,34546,176,34,73,0.076,Flare,1,5,41,-219.32000000000036
63681,34720,182,31,126,0.076,Flare,1,5,41,1.2696875
63682,34548,176,34,72,0.077,Flare,1,5,41,-219.31200000000032
63683,34720,182,31,126,0.077,Flare,1,5,41,1.2696875
63684,34549,176,34,72,0.078,Flare,1,5,41,-219.30400000000031
63685,34720,182,31,126,0.078,Flare,1,5,41,1.2696875
63686,34550,176,34,73,0.079,Flare,1,5,41,-219.29500000000036
63687,34720,182,31,126,0.079,Flare,1,5,41,1.2696875
63688,34551,176,34,71,0.08,Flare,1,5,41,-219.28800000000032
63689,34720,182,31,126,0.08,Flare,1,5,41,1.2696875
63690,34552,176,34,74,0.081,Flare,1,5,41,-219.27800000000036
63691,34720,182,31,126,0.081,Flare,1,5,41,1.2696875
63692,34553,176,34,72,0.082,Flare,1,5,41,-219.27000000000032
63693,34720,182,31,126,0.082,Flare,1,5,41,1.2696875
63694,34554,176,34,73,0.083,Flare,1,5,41,-219.26100000000037
63695,34720,182,31,126,0.083,Flare,1,5,41,1.2696875
63696,34555,176,34,72,0.084,Flare,1,5,41,-219.25300000000036
63697,34720,182,31,126,0.084,Flare,1,5,41,1.2696875
63698,34556,176,34,72,0.085,Flare,1,5,41,-219.24500000000032
63699,34720,182,31,126,0.085,Flare,1,5,41,1.2696875
63700,34557,176,34,74,0.086,Flare,1,5,41,-219.23500000000035
63701,34720,182,31,126,0.086,Flare,1,5,41,1.2696875
63702,34558,176,34,72,0.087,Flare,1,5,41,-219.21900000000036
63703,34720,182,31,126,0.087,Flare,1,5,41,1.2696875
63704,34558,176,34,72,0.088,Flare,1,5,41,-219.21900000000036
63705,34720,182,31,126,0.088,Flare,1,5,41,1.2696875
63706,34560,176,34,71,0.089,Flare,1,5,41,-219.21200000000036
63707,34720,182,31,126,0.089,Flare,1,5,41,1.2696875
63708,34561,176,34,71,0.09,Flare,1,5,41,-219.20500000000035
63709,34720,182,31,126,0.09,Flare,1,5,41,1.2696875
63710,34562,176,34,73,0.091,Flare,1,5,41,-219.19600000000037
63711,34720,182,31,126,0.091,Flare,1,5,41,1.2696875
63712,34563,176,34,72,0.092,Flare,1,5,41,-219.18800000000036
63713,34720,182,31,126,0.092,Flare,1,5,41,1.2696875
63714,34564,176,34,72,0.093,Flare,1,5,41,-219.18000000000032
63715,34720,182,31,126,0.093,Flare,1,5,41,1.2696875
63716,34565,176,34,72,0.094,Flare,1,5,41,-219.1720000000003
63717,34720,182,31,126,0.094,Flare,1,5,41,1.2696875
63718,34566,176,34,71,0.095,Flare,1,5,41,-219.1650000000003
63719,34720,182,31,126,0.095,Flare,1,5,41,1.2696875
63720,34567,176,34,72,0.096,Flare,1,5,41,-219.1570000000003
63721,34720,182,31,126,0.096,Flare,1,5,41,1.2696875
63722,34568,176,34,71,0.097,Flare,1,5,41,-219.1500000000003
63723,34720,182,31,126,0.097,Flare,1,5,41,1.2696875
63724,34569,176,34,70,0.098,Flare,1,5,41,-219.1440000000003
63725,34720,182,31,126,0.098,Flare,1,5,41,1.2696875
63726,34570,176,34,70,0.099,Flare,1,5,41,-219.1380000000003
63727,34720,182,31,126,0.099,Flare,1,5,41,1.2696875
63728,34571,176,34,71,0.1,Flare,1,5,41,-219.13100000000028
63729,34720,182,31,126,0.1,Flare,1,5,41,1.2696875
63730,34572,176,34,72,0.101,Flare,1,5,41,-219.12300000000027
63731,34720,182,31,126,0.101,Flare,1,5,41,1.2696875
63732,34573,176,34,71,0.102,Flare,1,5,41,-219.11600000000027
63733,34720,182,31,126,0.102,Flare,1,5,41,1.2696875
63734,34574,176,34,71,0.103,Flare,1,5,41,-219.10900000000024
63735,34720,182,31,126,0.103,Flare,1,5,41,1.2696875
63736,34575,176,34,70,0.104,Flare,1,5,41,-219.10300000000024
63737,34720,182,31,126,0.104,Flare,1,5,41,1.2696875
63738,34576,176,34,70,0.105,Flare,1,5,41,-219.09700000000024
63739,34720,182,31,126,0.105,Flare,1,5,41,1.2696875
63740,34577,176,34,72,0.106,Flare,1,5,41,-219.08900000000023
63741,34720,182,31,126,0.106,Flare,1,5,41,1.2696875
63742,34578,176,34,70,0.107,Flare,1,5,41,-219.08300000000025
63743,34720,182,31,126,0.107,Flare,1,5,41,1.2696875
63744,34579,176,34,71,0.108,Flare,1,5,41,-219.07600000000025
63745,34720,182,31,126,0.108,Flare,1,5,41,1.2696875
63746,34580,176,34,69,0.109,Flare,1,5,41,-219.07100000000025
63747,34720,182,31,126,0.109,Flare,1,5,41,1.2696875
63748,34581,176,34,70,0.11,Flare,1,5,41,-219.06500000000025
63749,34720,182,31,126,0.11,Flare,1,5,41,1.2696875
63750,34582,176,34,71,0.111,Flare,1,5,41,-219.05800000000025
63751,34720,182,31,126,0.111,Flare,1,5,41,1.2696875
63752,34583,176,34,70,0.112,Flare,1,5,41,-219.05200000000025
63753,34720,182,31,126,0.112,Flare,1,5,41,1.2696875
63754,34584,176,34,69,0.113,Flare,1,5,41,-219.04700000000025
63755,34720,182,31,126,0.113,Flare,1,5,41,1.2696875
63756,34585,176,34,70,0.114,Flare,1,5,41,-219.04100000000025
