,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
54,176,34,79,0.053,Chirp,1,1,1,0.5189999999999999
62,182,31,114,0.053,Chirp,1,1,1,1.148984375
55,176,34,76,0.054,Chirp,1,1,1,0.5309999999999999
62,182,31,114,0.054,Chirp,1,1,1,1.148984375
56,176,34,76,0.055,Chirp,1,1,1,0.5429999999999999
62,182,31,114,0.055,Chirp,1,1,1,1.148984375
57,176,34,77,0.056,Chirp,1,1,1,0.5559999999999999
62,182,31,114,0.056,Chirp,1,1,1,1.148984375
58,176,34,76,0.057,Chirp,1,1,1,0.568
62,182,31,114,0.057,Chirp,1,1,1,1.148984375
59,176,34,79,0.058,Chirp,1,1,1,0.583
62,182,31,114,0.058,Chirp,1,1,1,1.148984375
60,176,34,76,0.059,Chirp,1,1,1,0.5949999999999999
62,182,31,114,0.059000000000000004,Chirp,1,1,1,1.148984375
61,176,34,76,0.06,Chirp,1,1,1,0.6069999999999999
62,182,31,114,0.06,Chirp,1,1,1,1.148984375
64,176,34,77,0.061,Chirp,1,1,1,0.6199999999999999
62,182,31,114,0.061,Chirp,1,1,1,1.148984375
67,176,34,76,0.062,Chirp,1,1,1,0.6319999999999999
65,182,31,115,0.062,Chirp,1,1,1,1.1590625
70,176,34,79,0.063,Chirp,1,1,1,0.6469999999999999
68,182,31,116,0.063,Chirp,1,1,1,1.169140625
73,176,34,76,0.064,Chirp,1,1,1,0.6589999999999999
71,182,31,117,0.064,Chirp,1,1,1,1.17921875
76,176,34,76,0.065,Chirp,1,1,1,0.6709999999999999
74,182,31,118,0.065,Chirp,1,1,1,1.189296875
79,176,34,77,0.066,Chirp,1,1,1,0.6839999999999999
77,182,31,119,0.066,Chirp,1,1,1,1.199453125
82,176,34,76,0.067,Chirp,1,1,1,0.696
80,182,31,121,0.067,Chirp,1,1,1,1.21953125
85,176,34,79,0.068,Chirp,1,1,1,0.711
83,182,31,122,0.068,Chirp,1,1,1,1.229609375
88,176,34,77,0.069,Chirp,1,1,1,0.724
86,182,31,123,0.069,Chirp,1,1,1,1.2396875
91,176,34,76,0.07,Chirp,1,1,1,0.736
89,182,31,124,0.07,Chirp,1,1,1,1.24984375
94,176,34,76,0.071,Chirp,1,1,1,0.7479999999999998
92,182,31,126,0.071,Chirp,1,1,1,1.269921875
97,176,34,77,0.072,Chirp,1,1,1,0.7609999999999998
95,182,31,127,0.072,Chirp,1,1,1,1.279921875
100,176,34,79,0.073,Chirp,1,1,1,0.7759999999999998
98,182,31,127,0.073,Chirp,1,1,1,1.279921875
101,176,34,77,0.074,Chirp,1,1,1,0.7889999999999998
307,182,31,127,0.074,Chirp,1,1,1,1.27984375
102,176,34,76,0.075,Chirp,1,1,1,0.8129999999999998
307,182,31,127,0.075,Chirp,1,1,1,1.27984375
102,176,34,76,0.076,Chirp,1,1,1,0.8129999999999998
307,182,31,127,0.076,Chirp,1,1,1,1.27984375
104,176,34,77,0.077,Chirp,1,1,1,0.8259999999999998
307,182,31,127,0.077,Chirp,1,1,1,1.27984375
105,176,34,80,0.078,Chirp,1,1,1,0.8419999999999999
307,182,31,127,0.078,Chirp,1,1,1,1.27984375
106,176,34,76,0.079,Chirp,1,1,1,0.8539999999999999
307,182,31,127,0.079,Chirp,1,1,1,1.27984375
107,176,34,76,0.08,Chirp,1,1,1,0.8659999999999999
307,182,31,127,0.08,Chirp,1,1,1,1.27984375
108,176,34,77,0.081,Chirp,1,1,1,0.8789999999999999
307,182,31,127,0.081,Chirp,1,1,1,1.27984375
109,176,34,77,0.082,Chirp,1,1,1,0.8919999999999999
307,182,31,127,0.082,Chirp,1,1,1,1.27984375
110,176,34,79,0.083,Chirp,1,1,1,0.9069999999999999
307,182,31,127,0.083,Chirp,1,1,1,1.27984375
111,176,34,77,0.084,Chirp,1,1,1,0.9199999999999999
307,182,31,127,0.084,Chirp,1,1,1,1.27984375
112,176,34,77,0.085,Chirp,1,1,1,0.9329999999999999
307,182,31,127,0.085,Chirp,1,1,1,1.27984375
113,176,34,76,0.086,Chirp,1,1,1,0.9449999999999998
307,182,31,127,0.08600000000000001,Chirp,1,1,1,1.27984375
114,176,34,77,0.087,Chirp,1,1,1,0.9579999999999999
307,182,31,127,0.08700000000000001,Chirp,1,1,1,1.27984375
115,176,34,79,0.088,Chirp,1,1,1,0.9729999999999999
307,182,31,127,0.088,Chirp,1,1,1,1.27984375
116,176,34,77,0.089,Chirp,1,1,1,0.9859999999999999
307,182,31,127,0.089,Chirp,1,1,1,1.27984375
117,176,34,77,0.09,Chirp,1,1,1,0.9989999999999999
307,182,31,127,0.09,Chirp,1,1,1,1.27984375
118,176,34,76,0.091,Chirp,1,1,1,1.011
307,182,31,127,0.091,Chirp,1,1,1,1.27984375
119,176,34,77,0.092,Chirp,1,1,1,1.024
307,182,31,127,0.092,Chirp,1,1,1,1.27984375
120,176,34,77,0.093,Chirp,1,1,1,1.037
307,182,31,127,0.093,Chirp,1,1,1,1.27984375
121,176,34,79,0.094,Chirp,1,1,1,1.052
307,182,31,127,0.094,Chirp,1,1,1,1.27984375
122,176,34,77,0.095,Chirp,1,1,1,1.065
307,182,31,127,0.095,Chirp,1,1,1,1.27984375
123,176,34,76,0.096,Chirp,1,1,1,1.077
307,182,31,127,0.096,Chirp,1,1,1,1.27984375
124,176,34,76,0.097,Chirp,1,1,1,1.089
307,182,31,127,0.097,Chirp,1,1,1,1.27984375
125,176,34,77,0.098,Chirp,1,1,1,1.1019999999999999
307,182,31,127,0.098,Chirp,1,1,1,1.27984375
126,176,34,79,0.099,Chirp,1,1,1,1.117
307,182,31,127,0.099,Chirp,1,1,1,1.27984375
127,176,34,76,0.1,Chirp,1,1,1,1.129
307,182,31,127,0.1,Chirp,1,1,1,1.27984375
128,176,34,76,0.101,Chirp,1,1,1,1.141
307,182,31,127,0.101,Chirp,1,1,1,1.27984375
129,176,34,76,0.102,Chirp,1,1,1,1.1529999999999998
307,182,31,127,0.10200000000000001,Chirp,1,1,1,1.27984375
130,176,34,76,0.103,Chirp,1,1,1,1.1649999999999998
307,182,31,127,0.10300000000000001,Chirp,1,1,1,1.27984375
131,176,34,79,0.104,Chirp,1,1,1,1.1799999999999997
307,182,31,127,0.10400000000000001,Chirp,1,1,1,1.27984375
132,176,34,76,0.105,Chirp,1,1,1,1.1919999999999997
307,182,31,127,0.105,Chirp,1,1,1,1.27984375
133,176,34,76,0.106,Chirp,1,1,1,1.2039999999999997
307,182,31,127,0.106,Chirp,1,1,1,1.27984375
134,176,34,75,0.107,Chirp,1,1,1,1.2149999999999999
307,182,31,127,0.107,Chirp,1,1,1,1.27984375
135,176,34,76,0.108,Chirp,1,1,1,1.2269999999999999
307,182,31,127,0.108,Chirp,1,1,1,1.27984375
136,176,34,76,0.109,Chirp,1,1,1,1.2389999999999999
307,182,31,127,0.109,Chirp,1,1,1,1.27984375
137,176,34,75,0.11,Chirp,1,1,1,1.25
307,182,31,127,0.11,Chirp,1,1,1,1.27984375
138,176,34,75,0.111,Chirp,1,1,1,1.2610000000000001
307,182,31,127,0.111,Chirp,1,1,1,1.27984375
139,176,34,76,0.112,Chirp,1,1,1,1.2730000000000001
307,182,31,127,0.112,Chirp,1,1,1,1.27984375
140,176,34,75,0.113,Chirp,1,1,1,1.2840000000000003
307,182,31,127,0.113,Chirp,1,1,1,1.27984375
141,176,34,77,0.114,Chirp,1,1,1,1.2970000000000002
307,182,31,127,0.114,Chirp,1,1,1,1.27984375
142,176,34,75,0.115,Chirp,1,1,1,1.3080000000000003
307,182,31,127,0.115,Chirp,1,1,1,1.27984375
143,176,34,74,0.116,Chirp,1,1,1,1.3180000000000003
307,182,31,127,0.116,Chirp,1,1,1,1.27984375
144,176,34,75,0.117,Chirp,1,1,1,1.3290000000000002
307,182,31,127,0.117,Chirp,1,1,1,1.27984375
145,176,34,73,0.118,Chirp,1,1,1,1.338
307,182,31,127,0.11800000000000001,Chirp,1,1,1,1.27984375
146,176,34,76,0.119,Chirp,1,1,1,1.35
307,182,31,127,0.11900000000000001,Chirp,1,1,1,1.27984375
147,176,34,74,0.12,Chirp,1,1,1,1.36
307,182,31,127,0.12,Chirp,1,1,1,1.27984375
148,176,34,74,0.121,Chirp,1,1,1,1.37
307,182,31,127,0.121,Chirp,1,1,1,1.27984375
149,176,34,74,0.122,Chirp,1,1,1,1.3800000000000001
307,182,31,127,0.122,Chirp,1,1,1,1.27984375
150,176,34,74,0.123,Chirp,1,1,1,1.3900000000000001
307,182,31,127,0.123,Chirp,1,1,1,1.27984375
151,176,34,76,0.124,Chirp,1,1,1,1.4140000000000001
307,182,31,127,0.124,Chirp,1,1,1,1.27984375
151,176,34,76,0.125,Chirp,1,1,1,1.4140000000000001
307,182,31,127,0.125,Chirp,1,1,1,1.27984375
153,176,34,74,0.126,Chirp,1,1,1,1.4240000000000002
307,182,31,127,0.126,Chirp,1,1,1,1.27984375
154,176,34,74,0.127,Chirp,1,1,1,1.4340000000000002
307,182,31,127,0.127,Chirp,1,1,1,1.27984375
155,176,34,73,0.128,Chirp,1,1,1,1.443
307,182,31,127,0.128,Chirp,1,1,1,1.27984375
156,176,34,75,0.129,Chirp,1,1,1,1.4540000000000002
307,182,31,127,0.129,Chirp,1,1,1,1.27984375
157,176,34,73,0.13,Chirp,1,1,1,1.463
307,182,31,127,0.13,Chirp,1,1,1,1.27984375
158,176,34,73,0.131,Chirp,1,1,1,1.472
307,182,31,127,0.131,Chirp,1,1,1,1.27984375
159,176,34,73,0.132,Chirp,1,1,1,1.4809999999999999
307,182,31,127,0.132,Chirp,1,1,1,1.27984375
160,176,34,73,0.133,Chirp,1,1,1,1.4899999999999998
307,182,31,127,0.133,Chirp,1,1,1,1.27984375
161,176,34,74,0.134,Chirp,1,1,1,1.4999999999999998
307,182,31,127,0.134,Chirp,1,1,1,1.27984375
162,176,34,72,0.135,Chirp,1,1,1,1.5079999999999998
307,182,31,127,0.135,Chirp,1,1,1,1.27984375
163,176,34,73,0.136,Chirp,1,1,1,1.517
307,182,31,127,0.136,Chirp,1,1,1,1.27984375
164,176,34,72,0.137,Chirp,1,1,1,1.525
307,182,31,127,0.137,Chirp,1,1,1,1.27984375
165,176,34,72,0.138,Chirp,1,1,1,1.533
307,182,31,127,0.138,Chirp,1,1,1,1.27984375
166,176,34,73,0.139,Chirp,1,1,1,1.5419999999999998
307,182,31,127,0.139,Chirp,1,1,1,1.27984375
167,176,34,72,0.14,Chirp,1,1,1,1.5499999999999998
307,182,31,127,0.14,Chirp,1,1,1,1.27984375
168,176,34,72,0.141,Chirp,1,1,1,1.5579999999999996
307,182,31,127,0.14100000000000001,Chirp,1,1,1,1.27984375
169,176,34,71,0.142,Chirp,1,1,1,1.5649999999999995
307,182,31,127,0.14200000000000002,Chirp,1,1,1,1.27984375
170,176,34,72,0.143,Chirp,1,1,1,1.5729999999999995
307,182,31,127,0.14300000000000002,Chirp,1,1,1,1.27984375
171,176,34,73,0.144,Chirp,1,1,1,1.5819999999999994
307,182,31,127,0.14400000000000002,Chirp,1,1,1,1.27984375
172,176,34,71,0.145,Chirp,1,1,1,1.5889999999999995
307,182,31,127,0.145,Chirp,1,1,1,1.27984375
173,176,34,71,0.146,Chirp,1,1,1,1.5959999999999996
307,182,31,127,0.146,Chirp,1,1,1,1.27984375
174,176,34,71,0.147,Chirp,1,1,1,1.6099999999999997
307,182,31,127,0.147,Chirp,1,1,1,1.27984375
174,176,34,71,0.148,Chirp,1,1,1,1.6099999999999997
307,182,31,127,0.148,Chirp,1,1,1,1.27984375
176,176,34,71,0.149,Chirp,1,1,1,1.6169999999999995
307,182,31,127,0.149,Chirp,1,1,1,1.27984375
177,176,34,71,0.15,Chirp,1,1,1,1.6239999999999997
307,182,31,127,0.15,Chirp,1,1,1,1.27984375
178,176,34,70,0.151,Chirp,1,1,1,1.6299999999999997
307,182,31,127,0.151,Chirp,1,1,1,1.27984375
179,176,34,70,0.152,Chirp,1,1,1,1.6359999999999997
307,182,31,127,0.152,Chirp,1,1,1,1.27984375
180,176,34,70,0.153,Chirp,1,1,1,1.6479999999999997
307,182,31,127,0.153,Chirp,1,1,1,1.27984375
