,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
57,176,34,74,0.056,Flare,1,1,1,0.49700000000000005
85,182,31,105,0.056,Flare,1,1,1,1.05828125
58,176,34,74,0.057,Flare,1,1,1,0.5070000000000001
85,182,31,105,0.057,Flare,1,1,1,1.05828125
59,176,34,74,0.058,Flare,1,1,1,0.5170000000000001
85,182,31,105,0.058,Flare,1,1,1,1.05828125
60,176,34,76,0.059,Flare,1,1,1,0.529
85,182,31,105,0.059000000000000004,Flare,1,1,1,1.05828125
61,176,34,74,0.06,Flare,1,1,1,0.549
85,182,31,105,0.06,Flare,1,1,1,1.05828125
61,176,34,74,0.061,Flare,1,1,1,0.549
85,182,31,105,0.061,Flare,1,1,1,1.05828125
62,176,34,75,0.062,Flare,1,1,1,0.56
85,182,31,105,0.062,Flare,1,1,1,1.05828125
64,176,34,74,0.063,Flare,1,1,1,0.5700000000000001
85,182,31,105,0.063,Flare,1,1,1,1.05828125
65,176,34,76,0.064,Flare,1,1,1,0.5820000000000001
85,182,31,105,0.064,Flare,1,1,1,1.05828125
66,176,34,74,0.065,Flare,1,1,1,0.5920000000000001
85,182,31,105,0.065,Flare,1,1,1,1.05828125
67,176,34,74,0.066,Flare,1,1,1,0.6020000000000001
85,182,31,105,0.066,Flare,1,1,1,1.05828125
68,176,34,73,0.067,Flare,1,1,1,0.6110000000000001
85,182,31,105,0.067,Flare,1,1,1,1.05828125
69,176,34,74,0.068,Flare,1,1,1,0.6210000000000001
85,182,31,105,0.068,Flare,1,1,1,1.05828125
70,176,34,76,0.069,Flare,1,1,1,0.6330000000000001
85,182,31,105,0.069,Flare,1,1,1,1.05828125
71,176,34,74,0.07,Flare,1,1,1,0.6430000000000001
85,182,31,105,0.07,Flare,1,1,1,1.05828125
72,176,34,74,0.071,Flare,1,1,1,0.653
85,182,31,105,0.07100000000000001,Flare,1,1,1,1.05828125
73,176,34,73,0.072,Flare,1,1,1,0.662
85,182,31,105,0.07200000000000001,Flare,1,1,1,1.05828125
74,176,34,74,0.073,Flare,1,1,1,0.672
85,182,31,105,0.073,Flare,1,1,1,1.05828125
75,176,34,74,0.074,Flare,1,1,1,0.682
85,182,31,105,0.074,Flare,1,1,1,1.05828125
76,176,34,73,0.075,Flare,1,1,1,0.6910000000000001
