,Unnamed: 0,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
41792,16381,176,34,65,0.036,Baby_Scratch,1,5,41,-16.509
41793,16381,182,34,65,0.036,Baby_Scratch,1,5,41,1.0
41794,16382,176,34,66,0.037,Baby_Scratch,1,5,41,-16.507
41795,16382,182,34,66,0.037,Baby_Scratch,1,5,41,1.0
41796,16383,176,34,66,0.038,Baby_Scratch,1,5,41,-16.505000000000003
41797,16383,182,34,66,0.038,Baby_Scratch,1,5,41,1.0
41798,16384,176,34,66,0.039,Baby_Scratch,1,5,41,-16.503000000000004
41799,16384,182,34,66,0.039,Baby_Scratch,1,5,41,1.0
41800,16385,176,34,66,0.04,Baby_Scratch,1,5,41,-16.501000000000005
41801,16385,182,34,66,0.04,Baby_Scratch,1,5,41,1.0
41802,16386,176,34,66,0.041,Baby_Scratch,1,5,41,-16.499000000000006
41803,16386,182,34,66,0.041,Baby_Scratch,1,5,41,1.0
41804,16387,176,34,66,0.042,Baby_Scratch,1,5,41,-16.497000000000007
41805,16387,182,34,66,0.042,Baby_Scratch,1,5,41,1.0
41806,16387,176,34,66,0.043,Baby_Scratch,1,5,41,-16.497000000000007
41807,16387,182,34,66,0.042,Baby_Scratch,1,5,41,1.0
41808,16388,176,34,66,0.044,Baby_Scratch,1,5,41,-16.493000000000006
41809,16388,182,34,66,0.044,Baby_Scratch,1,5,41,1.0
41810,16390,176,34,66,0.045,Baby_Scratch,1,5,41,-16.491000000000007
41811,16390,182,34,66,0.045,Baby_Scratch,1,5,41,1.0
41812,16391,176,34,67,0.046,Baby_Scratch,1,5,41,-16.488000000000007
41813,16391,182,34,67,0.046,Baby_Scratch,1,5,41,1.0
41814,16392,176,34,66,0.047,Baby_Scratch,1,5,41,-16.486000000000008
41815,16392,182,34,66,0.047,Baby_Scratch,1,5,41,1.0
41816,16393,176,34,67,0.048,Baby_Scratch,1,5,41,-16.483000000000008
41817,16393,182,34,67,0.048,Baby_Scratch,1,5,41,1.0
41818,16394,176,34,67,0.049,Baby_Scratch,1,5,41,-16.480000000000008
41819,16394,182,34,67,0.049,Baby_Scratch,1,5,41,1.0
41820,16395,176,34,69,0.05,Baby_Scratch,1,5,41,-16.47500000000001
41821,16395,182,34,69,0.05,Baby_Scratch,1,5,41,1.0
41822,16396,176,34,67,0.051,Baby_Scratch,1,5,41,-16.47200000000001
41823,16396,182,34,67,0.051,Baby_Scratch,1,5,41,1.0
41824,16397,176,34,68,0.052,Baby_Scratch,1,5,41,-16.468000000000007
41825,16397,182,34,68,0.052,Baby_Scratch,1,5,41,1.0
41826,16398,176,34,68,0.053,Baby_Scratch,1,5,41,-16.464000000000006
41827,16398,182,34,68,0.053,Baby_Scratch,1,5,41,1.0
41828,16399,176,34,68,0.054,Baby_Scratch,1,5,41,-16.460000000000004
41829,16399,182,34,68,0.054,Baby_Scratch,1,5,41,1.0
41830,16400,176,34,69,0.055,Baby_Scratch,1,5,41,-16.455000000000005
41831,16400,182,34,69,0.055,Baby_Scratch,1,5,41,1.0
41832,16400,176,34,69,0.0559999999999999,Baby_Scratch,1,5,41,-16.455000000000005
41833,16400,182,34,69,0.055,Baby_Scratch,1,5,41,1.0
41834,16401,176,34,69,0.057,Baby_Scratch,1,5,41,-16.445000000000004
41835,16401,182,34,69,0.057,Baby_Scratch,1,5,41,1.0
41836,16403,176,34,69,0.058,Baby_Scratch,1,5,41,-16.440000000000005
41837,16403,182,34,69,0.058,Baby_Scratch,1,5,41,1.0
41838,16404,176,34,70,0.059,Baby_Scratch,1,5,41,-16.434000000000005
41839,16404,182,34,70,0.059,Baby_Scratch,1,5,41,1.0
41840,16405,176,34,71,0.06,Baby_Scratch,1,5,41,-16.427000000000003
41841,16405,182,34,71,0.06,Baby_Scratch,1,5,41,1.0
41842,16406,176,34,70,0.061,Baby_Scratch,1,5,41,-16.421000000000003
41843,16406,182,34,70,0.061,Baby_Scratch,1,5,41,1.0
41844,16407,176,34,70,0.062,Baby_Scratch,1,5,41,-16.415000000000003
41845,16407,182,34,70,0.062,Baby_Scratch,1,5,41,1.0
41846,16408,176,34,71,0.063,Baby_Scratch,1,5,41,-16.408
41847,16408,182,34,71,0.063,Baby_Scratch,1,5,41,1.0
41848,16409,176,34,71,0.064,Baby_Scratch,1,5,41,-16.401
41849,16409,182,34,71,0.064,Baby_Scratch,1,5,41,1.0
41850,16410,176,34,72,0.065,Baby_Scratch,1,5,41,-16.393
